listing_id,date
4826,2009-06-01
20815,2010-03-24
20815,2010-05-08
20815,2010-06-02
20815,2010-08-27
20815,2010-09-03
20815,2011-08-26
20815,2013-09-27
20815,2015-06-14
20815,2015-07-30
20815,2015-08-14
20815,2015-09-11
20815,2015-09-18
20815,2015-09-26
20815,2015-10-02
20815,2015-10-24
20815,2015-11-23
20815,2015-12-20
20815,2016-01-01
20815,2016-01-16
20815,2016-03-19
20815,2016-04-05
20815,2016-05-24
20815,2016-06-06
20815,2016-06-13
20815,2016-08-10
20815,2016-09-14
20815,2016-11-03
20815,2016-11-06
20815,2017-04-06
20815,2017-06-08
20815,2017-08-04
20815,2017-08-27
20815,2017-09-30
20815,2017-12-09
20815,2018-01-05
20815,2018-03-30
20815,2018-09-04
20815,2018-09-17
20815,2018-10-21
20815,2018-10-30
20815,2018-11-07
27271,2014-10-20
27271,2018-05-04
30697,2010-06-14
33368,2014-10-21
33580,2010-06-24
33580,2010-09-04
33580,2011-04-25
33580,2012-05-30
33580,2012-09-11
33580,2013-02-04
33580,2013-05-21
33580,2015-05-23
33580,2016-05-13
33580,2017-12-02
33730,2014-11-07
33730,2015-07-10
33730,2015-07-31
33730,2015-08-09
33730,2015-08-18
33730,2016-08-25
33730,2018-04-04
33730,2018-07-10
33730,2018-07-21
33730,2018-08-23
34177,2014-08-11
34177,2014-11-26
34177,2015-12-29
34177,2016-01-19
34177,2016-02-19
34177,2016-02-27
34177,2016-05-03
34177,2016-07-14
35580,2014-01-06
35580,2014-07-15
35580,2014-07-28
35580,2014-09-10
35580,2014-09-15
35580,2014-11-02
35580,2015-01-22
35580,2015-02-05
35580,2015-03-11
35580,2015-03-15
35580,2015-03-26
35580,2015-04-07
35580,2015-04-18
35580,2015-04-25
35580,2015-05-26
35580,2015-05-31
35580,2015-08-20
35580,2015-08-27
35580,2015-09-06
35580,2015-09-12
35580,2015-10-10
35580,2015-10-24
35580,2015-10-26
35580,2015-10-31
35580,2015-12-08
35580,2016-01-05
35580,2016-01-30
35580,2016-02-11
35580,2016-04-26
35580,2016-05-09
35580,2016-06-10
35580,2016-08-12
35580,2016-08-25
35580,2017-06-25
35580,2017-08-15
35580,2018-09-28
35580,2018-10-07
41753,2010-10-13
41753,2010-10-21
41753,2011-03-10
41753,2011-04-10
41753,2011-04-23
41753,2011-05-12
41753,2011-05-16
41753,2011-06-14
41753,2011-07-22
