id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1074008,Designer's Historical Apartment,5908273,Pia,,Beyoglu,41.03406103108657,28.979935132771168,Entire home/apt,396,2,17,2015-06-30,0.25,1,365
1074037,Elegant flat on gorgeous grounds,5908501,Nuran,,Besiktas,41.08409987831025,29.021150082706477,Entire home/apt,1607,210,0,,,1,365
1075384,Hoşgeldiniz,5916491,Pınar,,Maltepe,40.95490855310474,29.105136686947546,Private room,177,1,0,,,1,362
1077686,BALAT,5929670,Hanife,,Fatih,41.03301401907527,28.94456689623164,Private room,702,1,0,,,1,365
1079068,Comfy Flat 400mt to Taksim Square,5935545,Burak,,Beyoglu,41.039271932201835,28.98229739996931,Entire home/apt,225,1,5,2018-11-19,0.07,4,343
1080460,Best Point Suite,5942897,Fatih,,Fatih,41.00523369156907,28.98182302487379,Private room,466,4,0,,,1,364
1082592,"Taksim - Stay economic, travel more",5935545,Burak,,Beyoglu,41.03662487555924,28.981470259928305,Private room,166,1,1,2016-11-12,0.04,4,341
1083510,Apartment in the Heart of the City8,792658,ISlK,,Beyoglu,41.038816849717435,28.982945582172892,Entire home/apt,198,2,64,2018-10-29,0.97,9,354
1086151,Room in a Fully-Furnished Big House,5932065,Alp,,Bakirkoy,40.980522042892375,28.8824381660447,Private room,268,1,1,2013-06-03,0.02,1,365
1088624,Kartal Yakacık 1-1 Kiralık daire,5982112,Serkan,,Kartal,40.90533647135137,29.226795395012942,Private room,177,1,0,,,1,365
1091681,Golden Horn Studio & Terrace ,1478511,Mehmet Ali,,Fatih,41.03786758555412,28.944869821892777,Entire home/apt,171,2,89,2018-11-08,1.43,1,162
1091776,Great hospitality&Perfect location,4053638,Engin,,Beyoglu,41.02869028563611,28.982692176546124,Entire home/apt,155,2,0,,,1,364
1092753,"The Atatürk Airport, 5 minutes",6003668,Melik Fırat,,Bahcelievler,40.992399094432066,28.83903627794089,Private room,155,1,307,2018-09-20,4.59,3,365
1097135,2 bed room floor for 8  person ,5646509,Ramin,,Sisli,41.04214054168615,28.98450489572372,Entire home/apt,530,2,2,2018-08-10,0.05,5,365
1102622,LA CASA DI LINO a Beyoglu Istanbul,1734426,Lino And Gioia,,Beyoglu,41.028127058776185,28.98052604450835,Entire home/apt,273,1,22,2018-11-08,0.35,3,336
1102660,LA CASA DI GIOIA a Beyoglu Istanbul,1734426,Lino And Gioia,,Beyoglu,41.02987228337271,28.98075542480486,Entire home/apt,337,2,69,2018-11-11,1.07,3,347
1103284,Studio Flat with Garden View - F73,6059362,Mustafa,,Sisli,41.046868482212425,28.98422319273913,Entire home/apt,182,10,0,,,10,364
1107337,"NEW DECORATED, FULLY FURNISHED",6079857,Ahmet,,Fatih,41.01592650383544,28.93978193015049,Entire home/apt,187,2,1,2017-07-04,0.02,1,360
1108730,Green House Hostel-Tal-atHouse,6086676,Talat,,Sisli,41.042417953058056,28.98581596402989,Private room,182,1,5,2017-11-24,0.10,19,363
1109593,Cozy apartment in Istanbul center!,6084565,David,,Sisli,41.045627577469766,28.986000288194838,Private room,187,1,0,,,1,365
1112510,High Ceiling Studio Flat Taksim-F97,6059362,Mustafa,,Sisli,41.044834849632096,28.983977164483726,Private room,214,5,0,,,10,364
1112561,Studio (2 rooms) Flat with Balcony Taksim-F98,6059362,Mustafa,,Sisli,41.04333192305707,28.985762594975256,Entire home/apt,273,1,0,,,10,365
1114990, Private New Studio 2  in Beyoğlu ,4980245,Necla,,Beyoglu,41.037275570805065,28.975312069152654,Private room,129,2,25,2018-11-10,0.38,4,294
1120236,Experience Local İstanbul-Kadikoy,6146146,Defne,,Kadikoy,40.98830211014908,29.031479478857477,Entire home/apt,332,2,31,2018-09-04,0.47,2,364
1120982,"Temiz,Ucuz ve merkezi bölgede oda",6143828,Meral,,Bahcelievler,40.99950080137478,28.8356246424133,Private room,246,1,6,2015-04-22,0.11,1,365
1121192,Beyoğlunda Şirin Kullanışlı Stüdyo4,4174788,İlknur Bülent,,Beyoglu,41.03753548554411,28.976240937404583,Entire home/apt,123,1,111,2018-11-06,1.67,7,345
1122505,COSY ROOM FOR COUPLES,4541616,Kamil,,Atasehir,40.9939187319235,29.128788849677193,Private room,107,1,4,2018-09-16,0.85,2,158
1122511,COZY FLAT IN MIDDLE OF THE BESIKTAS,2328616,Arzu,,Besiktas,41.04577653647253,29.00572091611455,Entire home/apt,364,3,1,2014-01-02,0.02,2,365
1122580,BUDGET FRIENDLY ROOM FOR COUPLES,4541616,Kamil,,Atasehir,40.99331636450121,29.127287977481423,Private room,54,1,7,2018-08-17,0.18,2,159
1123851,Magnificient Residence in Taksim ,570204,Erden,,Beyoglu,41.03901896993627,28.98206506724744,Private room,321,1,1,2013-05-05,0.01,1,365
1123894,Beyoğlunda Şirin Kullanışlı Stüdyo5,4174788,İlknur Bülent,,Beyoglu,41.03714793273449,28.97532096305388,Entire home/apt,96,1,151,2018-11-07,2.23,7,344
1123972,Beyoğlunda Şirin Kullanışlı Stüdyo7,4174788,İlknur Bülent,,Beyoglu,41.03767448885313,28.97554759896735,Entire home/apt,96,1,130,2018-10-30,1.94,7,321
1123998,Beyoğlunda Şirin Kullanışlı Stüdyo8,4174788,İlknur Bülent,,Beyoglu,41.03731130186352,28.974719443194203,Entire home/apt,102,1,131,2018-11-07,1.95,7,351
1131124,Cosy room in Beyoglu 2,2781217,Fatma,,Beyoglu,41.03576961457838,28.976054360534206,Private room,123,1,24,2018-10-25,0.36,6,340
1133674,Charming Delightful Room@Centre 2,466302,Fati,,Beyoglu,41.02824990361985,28.977583166643274,Private room,70,21,15,2018-10-01,0.23,17,300
1139015, sunny single room balcony ortakoy,2940575,Zey,,Besiktas,41.04892534455108,29.02640865971675,Private room,230,2,8,2015-07-13,0.12,1,365
1144115,Central and Convenient Apartment,6271685,İbrahim,,Kadikoy,40.99032150478384,29.02835663234968,Entire home/apt,177,15,62,2016-08-31,0.93,1,81
1144758,LUXURY 1+1 APARTMENT IN ISTANBUL,6275650,Dünya,,Besiktas,41.04511031266687,29.000772296845273,Entire home/apt,257,10,52,2017-06-09,0.78,2,365
1145695,HISTORIC STUDIO with BOSPHORUS VIEW,508326,Uluc,,Besiktas,41.06245731602285,29.0352223194901,Entire home/apt,155,1,70,2018-11-09,1.06,1,329
1150863,Beyoğlunda Şirin Kullanışlı Stüdyo3,4174788,İlknur Bülent,,Beyoglu,41.0352625002722,28.975955801200744,Entire home/apt,96,1,190,2018-10-31,2.85,7,332
1157549,comfortable and spacious home,5025972,Rahman,,Beyoglu,41.03766567910771,28.982569533802018,Entire home/apt,643,3,5,2018-08-10,0.08,3,365
1158086,Magnificent house in the center of ,6346120,Abdülrezzak,,Besiktas,41.04718063594136,29.02292191387612,Private room,461,2,0,,,1,365
1162942,Cosy Room-Double Storey in Istanbul,6008737,Soner,,Uskudar,41.02082190511703,29.024244593219205,Private room,59,4,86,2018-10-09,1.33,1,346
1163140,Clean And  Very Economic Place,6370977,Enver,,Beyoglu,41.03860405624868,28.977767337395374,Shared room,37,28,0,,,1,364
1165060,Enderun Hotel Istanbul & Suites,6381425,Cengiz,,Fatih,41.007629272703234,28.965937531111376,Private room,1157,3,1,2013-06-09,0.02,1,364
1165377,"Panoramic View,Completely Renovated",6382455,Gulfem,,Besiktas,41.058883123822994,29.011926378513067,Entire home/apt,428,2,7,2017-01-30,0.16,1,188
1170983,Cozy room in Beşiktaş Serencebey,6409211,Esin,,Besiktas,41.04580204984236,29.011412011684452,Private room,193,1,8,2014-10-31,0.12,2,364
1173061,Sultanahmet best location studio,526515,Hande,,Fatih,41.0086174648587,28.976445025804033,Entire home/apt,364,2,18,2018-10-03,0.33,1,364
1175636,taksim doublex flat,6282819,Samar,,Beyoglu,41.03675587599488,28.980915827836544,Entire home/apt,734,2,0,,,2,365
1175664,Nice&Confortable Rooms In Center ,6434489,Lerna,,Sisli,41.05258585139319,28.982261683251746,Private room,155,1,4,2015-10-28,0.10,1,363
1175741,taksim modern flat,6282819,Samar,,Beyoglu,41.0401302381173,28.982101192266587,Entire home/apt,487,2,0,,,2,365
1175933,taxim super modern flat,6435499,Taleb,,Beyoglu,41.03833731188065,28.982076851143923,Entire home/apt,487,2,0,,,1,365
1176282,taxim doublex flat,6365283,Talip,,Gaziosmanpasa,41.07547777438658,28.882009069730042,Entire home/apt,916,1,0,,,1,365
1176889,Great Flat in Mecidiyekoy,4909733,Atakan Namik,,Sisli,41.075689232750264,28.9959612602217,Private room,123,1,0,,,1,365
1177153,2 minutes to Taksim Square For 4 People& Breakfast,6440444,Oytun,,Beyoglu,41.03784606506088,28.98214866743194,Entire home/apt,407,1,16,2018-11-04,0.33,6,359
1179342,Istanbul is a God's heaven on earth,6451890,Fatih,,Fatih,41.02398274005735,28.94099806000602,Entire home/apt,530,1,0,,,1,365
1179820,Lovely Large Room in Istanbul,6454045,Handan,,Kadikoy,40.98286847930639,29.056573520343022,Private room,161,1,6,2018-08-12,0.97,1,364
1180525,Taksim new cozy flat up to4,2110457,Setareh,,Fatih,41.00565462988077,28.97733002467137,Entire home/apt,675,1,0,,,1,364
1181574,Large art loft with bosphorus view!,4755298,Lev,,Beyoglu,41.03404707779573,28.98528369558189,Private room,305,2,27,2016-06-25,0.63,1,365
1181819,"Center of the city,Comfortable room",6464911,Gencay,,Sisli,41.047026545420955,28.98078581005317,Private room,123,3,2,2015-01-02,0.04,1,364
