id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15555467,Walking to Acropolis Parthenon,100140550,BreakBooking,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96410395679411,23.719751685438954,Entire home/apt,72,1,10,2018-07-22,0.28,24,359
15555468,Olympic Stadium Apartment Black,100140550,BreakBooking,,ΠΑΓΚΡΑΤΙ,37.97064757452165,23.74777458351287,Entire home/apt,79,1,3,2018-09-19,0.10,24,365
15555469,Olympic Stadium Apartment White,100140550,BreakBooking,,ΠΑΓΚΡΑΤΙ,37.970427417053784,23.748264702377465,Entire home/apt,79,1,3,2017-10-01,0.19,24,365
15555472,"City Break , Vouliagmenis",100140550,BreakBooking,,ΝΕΟΣ ΚΟΣΜΟΣ,37.962087649121315,23.734637563114724,Entire home/apt,46,1,20,2016-05-17,0.46,24,365
15555480,A contemporary Acropolis house,100140550,BreakBooking,,ΖΑΠΠΕΙΟ,37.967391427671444,23.73078405105716,Entire home/apt,153,1,30,2018-10-13,1.07,24,340
15555482,The Kolonaki Penthouse,100140550,BreakBooking,,ΚΟΛΩΝΑΚΙ,37.98129190615201,23.73756835892805,Entire home/apt,107,1,15,2018-09-01,0.34,24,358
15556850,Newly refurbished apartment in the heart of Athens,3366574,Stylianos,,ΙΛΙΣΙΑ,37.97457693321377,23.748134141819808,Entire home/apt,33,3,22,2018-10-10,0.87,1,365
15574505,Independent Studio Apartment in Downtown Athens,88329446,James,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.984365884947195,23.73458358732779,Entire home/apt,13,1,54,2018-11-02,4.37,2,319
15574869,"Home, let me come Hoooooome!...",100329491,Konstantinos,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98927254496249,23.73617476535795,Entire home/apt,29,2,65,2018-10-27,2.60,1,175
15581458,DREAM APARTMENT IN THE HEART OF ATHENS,99491433,Christian,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99047578964062,23.757189837237533,Entire home/apt,29,3,1,2016-12-17,0.04,1,43
15583700,"10 Min Walk to Acropolis-Fresh, New Apartment!",216220,Lynn,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96598328748554,23.724296314477495,Entire home/apt,39,2,103,2018-11-07,4.30,2,341
15593471,Psiri City Loft with Acropolis rooftop view,2690486,Costas,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98103448455793,23.724559601954,Entire home/apt,45,1,68,2018-11-12,2.78,1,360
15599790,Elegant studio near Kallimarmaro,94026807,Athanasios,,ΠΑΓΚΡΑΤΙ,37.971560398729196,23.743248805031403,Entire home/apt,27,2,137,2018-11-05,5.51,3,344
15602140,.,88061979,Tatiana,,ΣΤΑΔΙΟ,37.96590180680105,23.743694188950585,Entire home/apt,40,2,8,2017-10-10,0.33,1,167
15605778,Great bargain for 4 people! Athens at hand !!,100601517,Rima,,ΝΕΟΣ ΚΟΣΜΟΣ,37.960601680366246,23.7270525415548,Entire home/apt,40,2,62,2018-10-31,2.61,1,50
15625859,Luxury 100m2 with garden-Lycabettus,41367814,Eleftheria,,ΛΥΚΑΒΗΤΤΟΣ,37.986517277740475,23.746190792005294,Entire home/apt,52,3,0,,,1,59
15632347,In the REAL heart of Athens 139m2 top floor flat,100798411,Susy-Maria,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.983632070307266,23.732709866659118,Entire home/apt,95,3,35,2018-10-15,1.42,1,365
15637260,Bright & cozy central flat close to top sights,100843417,Despina,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.99042304664863,23.735182566217617,Entire home/apt,34,1,58,2018-10-11,2.33,1,354
15639058,Athens Ampelokipoi,100873855,Zenonas,,ΓΟΥΔΙ,37.983139547758405,23.76137134007744,Entire home/apt,40,1,0,,,1,87
15651023,"Liberty Park Place, Top Floor, 3 min to metro",30255408,Stefanis,,ΙΛΙΣΙΑ,37.979192988664835,23.75463060137298,Entire home/apt,50,2,1,2016-11-13,0.04,17,350
15651521,Acropolis Koukaki apt near metro & market,31421256,Marina,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96588611391661,23.725368615672636,Entire home/apt,50,1,88,2018-10-25,3.57,5,358
15653764,Athens Kolonaki Apartment with Great Views,91559157,Tina,,ΚΟΛΩΝΑΚΙ,37.977032100646696,23.74101716912067,Private room,70,1,69,2018-11-01,3.81,1,342
15660328,Renovated studio for two!,44724667,Tassos,,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,38.00555313698949,23.729750735913743,Entire home/apt,29,3,38,2018-10-15,2.08,1,168
15670643,Thission Penthouse - 360ο View,13130145,Theo,,ΘΗΣΕΙΟ,37.97698419878011,23.717247345797468,Entire home/apt,39,1,118,2018-11-11,4.83,4,213
15673604,Romantic  flat under Acropolis,101225099,Lara,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9698301964777,23.73128753825951,Entire home/apt,95,3,13,2018-06-30,0.55,1,280
15676953,"Spacious, Sunny Appt near Acropolis and Center.",101253840,Μαρια,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95482300475449,23.72834616225375,Entire home/apt,30,1,59,2018-10-29,2.67,1,357
15677633,Cosy appartment with Acropolis view,101258259,Filio,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.983206905640245,23.721599539107476,Entire home/apt,45,3,52,2018-11-07,2.17,1,294
15682743,"Acropolis views, central location, modern, cozy",36624874,George,,ΠΕΤΡΑΛΩΝΑ,37.978384336126865,23.719811691114167,Entire home/apt,50,1,77,2018-10-15,5.53,2,342
15693309,LAV ATHENS,101307633,Zeffie,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.967439563247204,23.72860956923683,Entire home/apt,100,2,2,2018-10-05,1.22,1,89
15693960,Apartments for 4 guests/Vouliagmenis,101313496,Natalia,,ΖΑΠΠΕΙΟ,37.96738709507895,23.73478780863849,Entire home/apt,276,1,0,,,1,365
15699402,Super-central Kolonaki apartment with AC!,53540465,Irini,,ΚΟΛΩΝΑΚΙ,37.976495711155145,23.744556486014552,Entire home/apt,45,2,36,2018-06-27,1.46,1,14
15711541,Athens - City Center - Ultra Care Apartments,101317754,Nikolaos,,ΑΜΠΕΛΟΚΗΠΟΙ,37.988127280886616,23.764750374579407,Entire home/apt,74,1,2,2017-11-01,0.08,2,299
15711550,Athens - City Center - Ultra Care Apartments,101317754,Nikolaos,,ΑΜΠΕΛΟΚΗΠΟΙ,37.9904006475539,23.76283614438346,Entire home/apt,84,1,0,,,2,336
15712906,Practical room for too,52439591,Γιώργος,,ΑΝΩ ΠΑΤΗΣΙΑ,38.01994473921395,23.745355494877845,Private room,15,1,6,2017-08-19,0.25,2,180
15715425,Your home in Athens,101507555,Krisi,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.986027781597194,23.72899755229019,Entire home/apt,44,3,55,2018-10-28,2.43,1,14
15716709,Stone and nature in the center of Athens,22857867,Joanna&Nick,,ΚΕΡΑΜΕΙΚΟΣ,37.98214666379873,23.713499944389465,Entire home/apt,50,2,56,2018-10-28,2.36,1,91
15725331,"Cozy apt. in  Athens center, 6 min walk from metro",100155695,Dimitris,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99444063471324,23.726976125594298,Entire home/apt,30,3,50,2017-08-30,2.29,1,0
15727101,"Athens, Mets, appartement",101616276,Touloumtzoglou,,ΣΤΑΔΙΟ,37.967091021293705,23.738016109627317,Entire home/apt,70,2,1,2017-05-30,0.06,1,180
15729234,Standard Double Room with private shower & Balcony,54077625,Konstantinos,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97618598191603,23.729647071885864,Private room,80,1,1,2018-03-14,0.12,3,356
15732831,Sappho house,61962352,Sylwester,,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,38.00220406614657,23.727147827462108,Entire home/apt,34,1,2,2017-04-14,0.09,2,365
15733122,Cosy studio at lycabetus,70588309,Roula,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98762014677011,23.741633893722934,Entire home/apt,20,2,38,2018-09-06,1.58,1,364
15736255,Elegant & Comfortable flat |TOP Acropolis Location,2718115,Alex & Maria | Preffered |,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96810422782129,23.72666023424164,Entire home/apt,70,2,6,2017-09-10,0.31,33,365
15744556,Sunny apartment 70sqm near Athens centre,40675610,Kleoniki,,ΠΕΔΙΟ ΑΡΕΩΣ,37.99487152788117,23.7395236691446,Entire home/apt,40,1,1,2017-01-15,0.04,1,177
15748967,Comfortable apartment  in centre of Athens,74077501,Μιχάλης,,ΙΛΙΣΙΑ,37.977300606341686,23.754412577848175,Entire home/apt,55,2,0,,,5,363
